year,month,day,daily_temp,date
2014,4,14,22.6387578125,2014-04-14
2014,4,15,21.058646354166665,2014-04-15
2014,4,16,13.096893193717278,2014-04-16
2014,4,17,16.966496875,2014-04-17
2014,4,18,19.521356770833332,2014-04-18
2014,4,19,19.281232291666665,2014-04-19
2014,4,20,15.405332291666667,2014-04-20
2014,4,21,17.210059375,2014-04-21
2014,4,22,19.855461006289307,2014-04-22
2014,4,23,21.514817708333332,2014-04-23
2014,4,24,21.220966666666666,2014-04-24
2014,4,25,22.790044270833334,2014-04-25
2014,4,26,23.906538541666666,2014-04-26
2014,4,27,23.6369375,2014-04-27
2014,4,28,25.548590104166667,2014-04-28
2014,4,29,24.0634296875,2014-04-29
2014,4,30,23.17575255102041,2014-04-30
2014,5,1,23.477306770833334,2014-05-01
2014,5,2,19.545028491620112,2014-05-02
2014,5,3,17.051131944444446,2014-05-03
2014,5,4,19.62992152777778,2014-05-04
2014,5,5,22.895979861111112,2014-05-05
2014,5,6,23.09238455882353,2014-05-06
2014,5,7,23.015413953488373,2014-05-07
2014,5,8,25.241993333333333,2014-05-08
2014,5,9,25.350048958333332,2014-05-09
2014,5,10,25.06328144329897,2014-05-10
2014,5,11,25.113408421052632,2014-05-11
2014,5,12,23.895482828282827,2014-05-12
2014,5,13,24.413705208333333,2014-05-13
2014,5,14,23.806849494949496,2014-05-14
2014,5,15,24.181999099099098,2014-05-15
2014,5,16,19.702505154639177,2014-05-16
2014,5,17,19.408646875,2014-05-17
2014,5,18,19.790360204081633,2014-05-18
2014,5,19,22.82598596491228,2014-05-19
2014,5,20,22.164841666666668,2014-05-20
2014,5,21,21.814005555555557,2014-05-21
2014,5,22,24.840606944444446,2014-05-22
2014,5,23,24.9147968,2014-05-23
2014,5,24,26.974909375,2014-05-24
2014,5,25,25.324435416666667,2014-05-25
2014,5,26,23.091490625,2014-05-26
2014,5,27,24.255870833333333,2014-05-27
2014,5,28,24.254641666666668,2014-05-28
2014,5,29,23.822808333333334,2014-05-29
2014,5,30,23.46112395833333,2014-05-30
2014,5,31,23.052986734693878,2014-05-31
2014,6,1,23.602979166666668,2014-06-01
2014,6,2,23.651805263157893,2014-06-02
2014,6,3,22.75366770833333,2014-06-03
2014,6,4,23.90110909090909,2014-06-04
2014,6,5,24.622998936170212,2014-06-05
